TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-18 16:24:49,1771431889559,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,vlpmd-1771431888039-07de5adff941,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.png,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,,,,,"Current Dir: /var/task/powergym/api
Project Root: /var/task/powergym/api/..
Sys Path: ['/var/task', '/var/task/_vendor', '/var/lang/lib/python312.zip', '/var/lang/lib/python3.12', '/var/lang/lib/python3.12/lib-dynload', '/var/lang/lib/python3.12/site-packages', '/var/task/powergym/api/..']
/var/task/_vendor/django/core/handlers/base.py:61: UserWarning: No directory at: /var/task/powergym/staticfiles_build/static/
mw_instance = middleware(adapted_handler)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 37, in <module>
from vercel_runtime.vc_init import vc_handler
File ""/var/task/_vendor/vercel_runtime/vc_init.py"", line 458, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.",prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,,,
2026-02-18 16:24:48,1771431888039,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,vlpmd-1771431888039-07de5adff941,vercel-favicon/1.0,,production,main,MISS,function,/powergym/api/index.py,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,1467,iad1,-1,2048,,prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,01KHRS316FZ2P2RMR97R1YEG1X,,-1
2026-02-18 16:24:45,1771431885968,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,d5dvt-1771431884411-41d3208b536c,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.png,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,,,,,"Current Dir: /var/task/powergym/api
Project Root: /var/task/powergym/api/..
Sys Path: ['/var/task', '/var/task/_vendor', '/var/lang/lib/python312.zip', '/var/lang/lib/python3.12', '/var/lang/lib/python3.12/lib-dynload', '/var/lang/lib/python3.12/site-packages', '/var/task/powergym/api/..']
/var/task/_vendor/django/core/handlers/base.py:61: UserWarning: No directory at: /var/task/powergym/staticfiles_build/static/
mw_instance = middleware(adapted_handler)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 37, in <module>
from vercel_runtime.vc_init import vc_handler
File ""/var/task/_vendor/vercel_runtime/vc_init.py"", line 458, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.",prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,,,
2026-02-18 16:24:44,1771431884411,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,d5dvt-1771431884411-41d3208b536c,vercel-favicon/1.0,,production,main,MISS,function,/powergym/api/index.py,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,1447,iad1,-1,2048,,prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,01KHRS2XPEDY3YM46MN8BESPAG,,-1
2026-02-18 16:24:43,1771431883286,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,wrkjf-1771431881764-732c5e5ab72b,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.png,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,,,,,"Current Dir: /var/task/powergym/api
Project Root: /var/task/powergym/api/..
Sys Path: ['/var/task', '/var/task/_vendor', '/var/lang/lib/python312.zip', '/var/lang/lib/python3.12', '/var/lang/lib/python3.12/lib-dynload', '/var/lang/lib/python3.12/site-packages', '/var/task/powergym/api/..']
/var/task/_vendor/django/core/handlers/base.py:61: UserWarning: No directory at: /var/task/powergym/staticfiles_build/static/
mw_instance = middleware(adapted_handler)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 37, in <module>
from vercel_runtime.vc_init import vc_handler
File ""/var/task/_vendor/vercel_runtime/vc_init.py"", line 458, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.",prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,,,
2026-02-18 16:24:41,1771431881764,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.png,GET,,500,wrkjf-1771431881764-732c5e5ab72b,vercel-favicon/1.0,,production,main,MISS,function,/powergym/api/index.py,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,1464,iad1,-1,2048,,prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,01KHRS2V2BBQNRQKD61F5D4MM0,,-1
2026-02-18 16:24:41,1771431881730,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.ico,GET,,500,6wtl4-1771431880205-a1160860a384,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.ico,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,,,,,"Current Dir: /var/task/powergym/api
Project Root: /var/task/powergym/api/..
Sys Path: ['/var/task', '/var/task/_vendor', '/var/lang/lib/python312.zip', '/var/lang/lib/python3.12', '/var/lang/lib/python3.12/lib-dynload', '/var/lang/lib/python3.12/site-packages', '/var/task/powergym/api/..']
/var/task/_vendor/django/core/handlers/base.py:61: UserWarning: No directory at: /var/task/powergym/staticfiles_build/static/
mw_instance = middleware(adapted_handler)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 37, in <module>
from vercel_runtime.vc_init import vc_handler
File ""/var/task/_vendor/vercel_runtime/vc_init.py"", line 458, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.",prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,,,
2026-02-18 16:24:40,1771431880205,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.ico,GET,,500,6wtl4-1771431880205-a1160860a384,vercel-favicon/1.0,,production,main,MISS,function,/powergym/api/index.py,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,1469,iad1,-1,2048,,prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,01KHRS2SHGJ7Y1EE6G0VBDHM0G,,-1
2026-02-18 16:24:38,1771431878152,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.ico,GET,,500,wgkm4-1771431876508-28248b787514,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.ico,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,,,,,"Current Dir: /var/task/powergym/api
Project Root: /var/task/powergym/api/..
Sys Path: ['/var/task', '/var/task/_vendor', '/var/lang/lib/python312.zip', '/var/lang/lib/python3.12', '/var/lang/lib/python3.12/lib-dynload', '/var/lang/lib/python3.12/site-packages', '/var/task/powergym/api/..']
/var/task/_vendor/django/core/handlers/base.py:61: UserWarning: No directory at: /var/task/powergym/staticfiles_build/static/
mw_instance = middleware(adapted_handler)
Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 37, in <module>
from vercel_runtime.vc_init import vc_handler
File ""/var/task/_vendor/vercel_runtime/vc_init.py"", line 458, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.",prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,,,
2026-02-18 16:24:36,1771431876508,power-ioi044zyh-juliv08s-projects.vercel.app/favicon.ico,GET,,500,wgkm4-1771431876508-28248b787514,vercel-favicon/1.0,,production,main,MISS,function,/powergym/api/index.py,power-ioi044zyh-juliv08s-projects.vercel.app,power-ioi044zyh-juliv08s-projects.vercel.app,dpl_D4zmonF6SZN3D6hWc1kmzZ2bDy1J,1591,iad1,-1,2048,,prj_UMrDsV93bUP3gZKNYhKSbDrbd1tf,,,01KHRS2NY48EGSCKM96JGTHWHK,,-1
